date,World
2020-11-17,544481
2020-11-18,582979
2020-11-19,625770
2020-11-20,640970
2020-11-21,679758
2020-11-22,572043
2020-11-23,518858
2020-11-24,533527
2020-11-25,561704
2020-11-26,649666
2020-11-27,549900
2020-11-28,616139
2020-11-29,552296
